record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
1674,Yes,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No
13417,Yes,Yes,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Rarely,No,No
12023,No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No
2303,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No
4237,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes
24330,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No
30523,Yes,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes
55276,Yes,Yes,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Sometimes,No,No
24168,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes
6516,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
50971,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Always,Always,No,No
32611,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No
37097,Yes,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No
20375,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Never,No,Yes
12302,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No
25979,No,No,No,15 years old,Male,0 times,0 times,Sometimes,0,0 days,Rarely,Never,No,No
22670,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No
48073,Yes,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No
39161,No,No,No,16 years old,Male,0 times,1 time,Sometimes,2,0 days,Sometimes,Always,No,No
9100,No,Yes,Yes,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Never,Never,No,No
6928,No,No,No,17 years old,Male,0 times,1 time,Rarely,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes
27992,No,No,No,16 years old,Male,0 times,0 times,Sometimes,2,0 days,Sometimes,Rarely,No,No
19320,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No
9471,No,No,No,16 years old,Male,0 times,0 times,Rarely,2,0 days,Most of the time,Always,No,No
28101,No,No,No,16 years old,Female,1 time,0 times,Most of the time,3 or more,1 or 2 days,Most of the time,Rarely,Yes,Yes
56160,No,No,No,15 years old,Female,0 times,0 times,Never,0,1 or 2 days,Rarely,Rarely,No,Yes
49614,No,Yes,Yes,15 years old,Male,1 time,2 or 3 times,Never,3 or more,3 to 5 days,Rarely,Rarely,No,Yes
54239,No,No,No,17 years old,Female,2 or 3 times,1 time,Always,2,1 or 2 days,Rarely,Sometimes,Yes,Yes
50879,No,No,No,17 years old,Male,0 times,0 times,Never,1,1 or 2 days,Most of the time,Always,No,Yes
13165,Yes,Yes,Yes,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No
40886,No,No,No,15 years old,Female,0 times,0 times,Most of the time,0,6 to 9 days,Sometimes,Never,Yes,Yes
13153,Yes,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,6 to 9 days,Most of the time,Sometimes,No,Yes
31467,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No
43701,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,10 or more days,Never,Never,No,Yes
43951,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Never,Sometimes,No,Yes
9023,No,No,Yes,14 years old,Female,2 or 3 times,1 time,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes
52744,No,No,No,17 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No
28705,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Always,No,Yes
55478,No,Yes,Yes,16 years old,Female,1 time,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Never,No,Yes
47798,No,No,No,13 years old,Male,0 times,1 time,Rarely,3 or more,6 to 9 days,Rarely,Rarely,No,Yes
16028,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No
